#
1	69  f07
2	78  s08
3	52  f08
4	100 s09
5	61  f09
6	115 s10
7	92  f10
8	136 s11
9	91  f11
10	144 s12
11	158 f12
12	176 s13
13	211 f13
14	213 s14
15	169 f14
16	216 s15
17	249 f15
18	270 s16
19	1000
